reservation_id,user_id,user_type,member_status,age_group,neighborhood,hub_id,hub_name,hub_type,item_id,item_category,item_name,reservation_date,pickup_scheduled_datetime,pickup_status,pickup_actual_datetime,borrow_days,return_due_datetime,return_status,return_actual_datetime,late_hours,parts_expected,parts_returned,missing_parts_flag,damage_flag,damage_severity,cleaning_required_flag,cleaning_done_flag,staff_checkout_minutes,staff_checkin_minutes,hub_queue_length,demand_level,event_period,inventory_available_at_reserve,notifications_enabled_flag,reminders_sent_count,report_issue_in_app_flag,support_ticket_flag,ticket_type,data_entry_method,staff_notes_length,penalty_amount_usd,cancellation_flag,cancellation_reason
R0IFD0T,U41551,Resident,Frequent Borrower,35-44,Greenway,HUB11,Greenway Hub,Staffed,IVBDIVU,Tools,Cordless Drill Kit,2025-09-28,2025-09-29 15:45:00,Picked up,2025-09-29 16:27:00,7.0,2025-10-06 15:45:00,On time,2025-10-06 15:45:00,0.0,4.0,4.0,0.0,0.0,,1.0,0.0,5.0,6.0,4,Medium,Weekend,1,1,1,0,0,,Mixed,21,0.0,0,
RPQK51F,U50774,Resident,Standard,25-34,Harbor,HUB03,Riverside Hub,Staffed+Volunteers,IPKH1DN,Sewing/Craft,Knitting Kit,2025-11-19,2025-11-20 09:00:00,Picked up,2025-11-20 09:22:00,14.0,2025-12-04 09:00:00,On time,2025-12-04 09:00:00,0.0,3.0,3.0,0.0,0.0,,0.0,1.0,9.0,9.0,3,Low,Regular,1,1,2,0,0,,Mixed,16,0.0,0,
RJBQE7C,U81910,Resident,Frequent Borrower,25-34,West End,HUB10,Old Town Hub,Staffed+Volunteers,IKW5NGC,Sports,Yoga Kit,2025-09-11,2025-09-12 13:30:00,Picked up,2025-09-12 14:17:00,10.0,2025-09-22 13:30:00,On time,2025-09-22 13:30:00,0.0,5.0,5.0,0.0,1.0,Minor,0.0,1.0,9.0,12.0,3,Medium,Regular,1,1,3,0,1,Damage,Electronic log,25,0.0,0,
R945NQ4,U56717,Resident,Standard,55+,Greenway,HUB06,West End Hub,Staffed,IFMYZYC,Camping,Camping Stove,2025-09-21,2025-09-21 09:30:00,Picked up,2025-09-21 10:34:00,7.0,2025-09-28 09:30:00,On time,2025-09-28 09:30:00,0.0,3.0,3.0,0.0,1.0,Minor,0.0,1.0,6.0,9.0,8,High,Weekend,1,1,1,1,0,,Electronic log,15,0.0,0,
R0FN9XU,U39855,Resident,Standard,25-34,Greenway,HUB12,Harbor Hub,Volunteer-heavy,IY41IBL,Camping,Camping Lantern Kit,2025-09-11,2025-09-11 13:00:00,Picked up,2025-09-11 13:22:00,3.0,2025-09-14 13:00:00,On time,2025-09-14 13:00:00,0.0,6.0,5.0,1.0,0.0,,0.0,1.0,10.0,6.0,4,Medium,Regular,1,0,0,0,0,,Electronic log,26,0.0,0,
R6UZHR5,U83744,Nonprofit Partner,Standard,25-34,South Park,HUB11,Greenway Hub,Staffed,IXFF0T0,Tools,Circular Saw,2025-08-27,2025-08-27 12:30:00,Picked up,2025-08-27 12:56:00,3.0,2025-08-30 12:30:00,On time,2025-08-30 12:30:00,0.0,5.0,5.0,0.0,0.0,,1.0,1.0,8.0,7.0,4,Medium,Regular,1,0,0,0,0,,Electronic log,18,0.0,0,
RN9ER14,U23403,Resident,Standard,35-44,East Market,HUB05,South Park Hub,Staffed,IFFYVNV,AV/Projectors,Camera Tripod,2025-09-08,2025-09-09 11:30:00,Picked up,2025-09-09 11:57:00,5.0,2025-09-14 11:30:00,On time,2025-09-14 11:30:00,0.0,4.0,4.0,0.0,0.0,,0.0,1.0,5.0,11.0,8,Medium,Regular,1,1,2,0,0,,Mixed,37,0.0,0,
R84AZYT,U66556,Resident,New User,45-54,Hilltop,HUB09,Lakeside Hub,Staffed+Volunteers,IJXEPQ8,AV/Projectors,Microphone Set,2025-08-23,2025-08-23 17:45:00,Picked up,2025-08-23 17:51:00,3.0,2025-08-26 17:45:00,On time,2025-08-26 17:45:00,0.0,5.0,5.0,0.0,0.0,,1.0,1.0,13.0,9.0,5,Medium,Weekend,1,1,1,0,0,,Electronic log,12,0.0,0,
R1SDW4S,U79449,Resident,Standard,25-34,Harbor,HUB10,Old Town Hub,Staffed+Volunteers,IHNF877,Sports,Yoga Kit,2025-12-30,2025-12-31 09:00:00,Picked up,2025-12-31 10:09:00,5.0,2026-01-05 09:00:00,On time,2026-01-05 09:00:00,0.0,3.0,2.0,1.0,0.0,,1.0,1.0,5.0,9.0,3,Medium,Regular,1,1,1,0,0,,Electronic log,44,0.0,0,
RA753LC,U76234,Resident,Standard,55+,Old Town,HUB11,Greenway Hub,Staffed,I58DRC1,Sports,Tennis Racket Set,2025-08-13,2025-08-13 17:15:00,Picked up,2025-08-13 17:01:00,3.0,2025-08-16 17:15:00,On time,2025-08-16 17:15:00,0.0,6.0,3.0,1.0,0.0,,1.0,1.0,7.0,9.0,2,Low,Regular,1,0,0,0,0,,Handwritten notes,0,0.0,0,
R8FSV87,U67854,Volunteer,Standard,25-34,Riverside,HUB03,Riverside Hub,Staffed+Volunteers,I1YZOYN,Camping,Backpacking Pack,2025-08-27,2025-08-29 09:15:00,Picked up,2025-08-29 09:05:00,5.0,2025-09-03 09:15:00,On time,2025-09-03 09:15:00,0.0,7.0,7.0,0.0,0.0,,1.0,1.0,2.0,9.0,1,Low,Regular,1,1,2,1,0,,Electronic log,40,0.0,0,
RICATVA,U29087,Resident,New User,55+,Lakeside,HUB08,Hilltop Hub,Volunteer-heavy,IZCCBLS,Kitchen/Appliances,Stand Mixer,2025-10-19,2025-10-20 14:30:00,Picked up,2025-10-20 14:03:00,5.0,2025-10-25 14:30:00,Late,2025-10-25 20:30:00,6.0,3.0,3.0,0.0,0.0,,1.0,1.0,14.0,9.0,8,Medium,Weekend,1,1,1,0,0,,Electronic log,11,0.5,0,
RHE7UR2,U85880,Resident,Standard,18-24,South Park,HUB07,East Market Hub,Staffed,I3GDPPQ,Sewing/Craft,Iron + Board,2025-09-02,2025-09-03 09:15:00,Picked up,2025-09-03 09:15:00,7.0,2025-09-10 09:15:00,On time,2025-09-10 09:15:00,0.0,2.0,2.0,0.0,0.0,,0.0,1.0,10.0,11.0,5,Low,Regular,1,0,1,0,0,,Electronic log,26,0.0,0,
RC02DGT,U63413,Resident,New User,25-34,Harbor,HUB08,Hilltop Hub,Volunteer-heavy,IFGQ5C3,Tools,Cordless Drill Kit,2025-09-16,2025-09-16 10:45:00,Picked up,2025-09-16 11:04:00,5.0,2025-09-21 10:45:00,On time,2025-09-21 10:45:00,0.0,6.0,6.0,0.0,0.0,,1.0,1.0,8.0,14.0,8,Medium,Regular,1,1,1,0,0,,Electronic log,6,0.0,0,
RXTAD1I,U20488,Resident,Standard,35-44,Lakeside,HUB08,Hilltop Hub,Volunteer-heavy,IOR56FA,Tools,Cordless Drill Kit,2025-08-22,2025-08-22 17:15:00,Cancelled,,,,,,,,,,,,,,,,2,High,Regular,1,1,0,0,0,,Mixed,32,0.0,1,Item not available
RKZ02XR,U11062,Resident,Standard,25-34,East Market,HUB11,Greenway Hub,Staffed,IGHC0CL,Sports,Tennis Racket Set,2025-08-03,2025-08-03 13:45:00,Picked up,2025-08-03 14:02:00,7.0,2025-08-10 13:45:00,On time,2025-08-10 13:45:00,0.0,5.0,4.0,1.0,0.0,,0.0,1.0,7.0,13.0,6,Low,Weekend,0,1,2,0,1,Missing parts,Handwritten notes,11,0.0,0,
RS4F8CG,U10846,Resident,Standard,45-54,Downtown,HUB02,Northside Hub,Volunteer-heavy,IVYIE6I,AV/Projectors,Camera Tripod,2025-08-31,2025-09-01 17:15:00,Picked up,2025-09-01 18:36:00,10.0,2025-09-11 17:15:00,On time,2025-09-11 17:15:00,0.0,6.0,6.0,0.0,0.0,,1.0,1.0,14.0,17.0,8,Medium,Weekend,0,1,0,0,0,,Electronic log,27,0.0,0,
RCXULJY,U53925,Resident,Frequent Borrower,45-54,Old Town,HUB12,Harbor Hub,Volunteer-heavy,ILJEXQ7,Tools,Ladder (6ft),2025-10-08,2025-10-08 16:45:00,Picked up,2025-10-08 15:52:00,5.0,2025-10-13 16:45:00,On time,2025-10-13 16:45:00,0.0,6.0,6.0,0.0,0.0,,0.0,1.0,10.0,3.0,4,Low,Regular,1,0,0,0,0,,Handwritten notes,14,0.0,0,
RWUDTSE,U92870,Resident,Standard,45-54,Northside,HUB01,Downtown Hub,Staffed,IMCIKPT,Tools,Toolbox Set,2025-09-11,2025-09-11 13:30:00,Picked up,2025-09-11 14:37:00,7.0,2025-09-18 13:30:00,On time,2025-09-18 13:30:00,0.0,5.0,5.0,0.0,1.0,Minor,0.0,1.0,14.0,12.0,5,High,Regular,1,1,1,0,1,Missing parts,Electronic log,15,0.0,0,
RA3KX7E,U54327,Resident,New User,18-24,South Park,HUB05,South Park Hub,Staffed,IEDTJVZ,AV/Projectors,LED Light Kit,2025-11-08,2025-11-08 11:00:00,Picked up,2025-11-08 12:09:00,7.0,2025-11-15 11:00:00,On time,2025-11-15 11:00:00,0.0,7.0,7.0,0.0,0.0,,0.0,1.0,6.0,13.0,5,Low,Weekend,1,1,2,0,0,,Electronic log,17,0.0,0,
